1,0.30718245659960264 3,0.3480396151594083 2,0.3628718737290633 4,0.3642188695023209 5,0.4291672229786428 7,0.4386891010827867 6,0.4816828293280764 9,0.4940786377148091 8,0.6763221690526926 10,0.6994312208933643
3,0.0459738928798695 2,0.05569706679723788 4,0.059729503350554554 5,0.12210603010770163 6,0.17458296652627237 0,0.30718245659960264 9,0.3438042834092784 7,0.35435692632597815 10,0.3956251938405489 14,0.5486746142125727
4,0.020323003716262927 3,0.028121030180899783 1,0.05569706679723788 5,0.06666432372456764 6,0.1190165098743974 10,0.3409701936019855 9,0.34097777959520786 0,0.3628718737290633 7,0.3665493242647803 14,0.49482498047110085
4,0.016685274353945602 2,0.028121030180899783 1,0.0459738928798695 5,0.08335152396668395 6,0.13523399412949816 9,0.31772065086539686 7,0.3398639390375668 0,0.3480396151594083 10,0.36191230915551353 14,0.5046866836350627
3,0.016685274353945602 2,0.020323003716262927 1,0.059729503350554554 5,0.06666649599009769 6,0.11859783316423218 9,0.3206861346792012 10,0.34530116876172373 7,0.3473079773961488 0,0.3642188695023209 14,0.4892940736340712
6,0.05251767385231502 2,0.06666432372456764 4,0.06666649599009769 3,0.08335152396668395 1,0.12210603010770163 10,0.27897236440138856 9,0.3409030567878221 7,0.38323194836898383 14,0.4289411626395455 0,0.4291672229786428
5,0.05251767385231502 4,0.11859783316423218 2,0.1190165098743974 3,0.13523399412949816 1,0.17458296652627237 10,0.22955595339785617 9,0.35523338000017385 14,0.37859755802590656 13,0.38018610705049144 15,0.39136184020284626
9,0.09678256984124756 3,0.3398639390375668 4,0.3473079773961488 1,0.35435692632597815 2,0.3665493242647803 5,0.38323194836898383 8,0.40334136406059623 6,0.4085685545900653 0,0.4386891010827867 18,0.4468894873087891
11,0.3857812572413481 7,0.40334136406059623 12,0.4505901189668528 9,0.47499368502009054 18,0.6318172433297279 0,0.6763221690526926 27,0.6828446291646687 3,0.729657004350668 1,0.7333301898424484 4,0.7398627031359533
7,0.09678256984124756 3,0.31772065086539686 4,0.3206861346792012 5,0.3409030567878221 2,0.34097777959520786 1,0.3438042834092784 6,0.35523338000017385 18,0.37472466434002627 19,0.4439569949400472 8,0.47499368502009054
6,0.22955595339785617 13,0.2424489748333765 14,0.2489701979853881 15,0.2602326860199554 5,0.27897236440138856 16,0.3388080581605159 2,0.3409701936019855 17,0.34402517827856793 4,0.34530116876172373 3,0.36191230915551353
12,0.07269788833188691 8,0.3857812572413481 27,0.5746018134170544 28,0.6897471433715614 32,0.6915498195237658 31,0.7249133060484387 29,0.731194618421176 7,0.7466848201361426 18,0.7821930182803737 9,0.7922825319544973
11,0.07269788833188691 8,0.4505901189668528 27,0.6151422532784019 28,0.6291791573627409 31,0.6695180367486994 29,0.6706014180152614 32,0.7294421937534132 30,0.7615330886122114 7,0.8183807179161052 18,0.8491610335842572
14,0.013520163511750864 15,0.018773609906909582 17,0.10164357747708573 16,0.12097054402897607 20,0.20254386492279094 21,0.2205590943664068 10,0.2424489748333765 22,0.32815207850308564 19,0.35438933677189066 23,0.37991598713572944
15,0.01284425527984384 13,0.013520163511750864 17,0.09561778378186142 16,0.10814556032060524 20,0.19271511814014916 21,0.21131777585752767 10,0.2489701979853881 22,0.31648818182638416 19,0.3412706991975202 23,0.3675754999175725
14,0.01284425527984384 13,0.018773609906909582 17,0.08385873166903904 16,0.10438094687900093 20,0.18377426216908363 21,0.2018037813683023 10,0.2602326860199554 22,0.3099192179344191 19,0.3381647530431075 23,0.3622702947683505
17,0.08294307371737904 15,0.10438094687900093 20,0.10541003978131083 14,0.10814556032060524 13,0.12097054402897607 21,0.12743689885541276 22,0.21157927916658592 19,0.23379711658925242 23,0.26000862325946483 24,0.3101755334029211
16,0.08294307371737904 15,0.08385873166903904 14,0.09561778378186142 13,0.10164357747708573 20,0.11046567073703926 21,0.12476201775310103 22,0.24579161632387786 19,0.2935681412096786 23,0.30411147493097634 10,0.34402517827856793
19,0.18273075569884292 24,0.2013713675455673 25,0.20190159803494206 23,0.21858543711524128 22,0.2742546914921697 9,0.37472466434002627 20,0.38157188571798273 21,0.386020995496336 16,0.3946920028643754 7,0.4468894873087891
23,0.06863256334147191 22,0.09873306859972694 24,0.1003655750751209 25,0.1217619083775089 18,0.18273075569884292 20,0.20055533213342863 21,0.2036001024661743 16,0.23379711658925242 17,0.2935681412096786 15,0.3381647530431075
